# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DiskQueryRelay.taskWaitingTotalTimeUs,1773676635263000000,1773676695406000000,315189
parser.DuckDBGrammar.size.bytes,1773676635263000000,1773676695406000000,55739
parser.HTML.time.ns,1773676635263000000,1773676695406000000,5738584
parser.Markdown.size.bytes,1773676635263000000,1773676695406000000,15793
lexer.JSON.time.ns,1773676635263000000,1773676695406000000,143833
lexer.HTML.size.bytes,1773676635263000000,1773676695406000000,0
writeAction.median.wait.ms,1773676635263000000,1773676695406000000,0
DiskQueryRelay.tasksRequested,1773676635263000000,1773676695406000000,265
DiskQueryRelay.tasksExecuted,1773676635263000000,1773676695406000000,265
parser.JSON.size.bytes,1773676635263000000,1773676695406000000,0
lexer.HTML.time.ns,1773676635263000000,1773676695406000000,942958
lexer.DuckDBGrammar.time.ns,1773676635263000000,1773676695406000000,1085166
writeAction.max.wait.ms,1773676635263000000,1773676695406000000,46
writeAction.count,1773676635263000000,1773676695406000000,43
parser.HTML.size.bytes,1773676635263000000,1773676695406000000,0
parser.Markdown.time.ns,1773676635263000000,1773676695406000000,60348796
parser.DuckDBGrammar.time.ns,1773676635263000000,1773676695406000000,8158960
lexer.DuckDBGrammar.size.bytes,1773676635263000000,1773676695406000000,55739
writeAction.wait.ms,1773676635263000000,1773676695406000000,78
lexer.JSON.size.bytes,1773676635263000000,1773676695406000000,0
parser.JSON.time.ns,1773676635263000000,1773676695406000000,1205166
lexer.Markdown.time.ns,1773676635263000000,1773676695406000000,172010794
lexer.Markdown.size.bytes,1773676635263000000,1773676695406000000,15793
DiskQueryRelay.taskExecutionTotalTimeUs,1773676635263000000,1773676695406000000,225232
FlushQueue.waitingTimeAvgNs,1773676635263000000,1773676695406000000,101930.66666666667
ReadAction.executionsCount,1773676635263000000,1773676695406000000,365648
AWTEventQueue.dispatchTime90PNs,1773676635263000000,1773676695406000000,168959
FlushQueue.tasksExecuted,1773676635263000000,1773676695406000000,6
NonBlockingReadAction.failedExecutionsCount,1773676635263000000,1773676695406000000,64
FlushQueue.executionTimeMaxNs,1773676635263000000,1773676695406000000,60415
FlushQueue.waitingTime90PNs,1773676635263000000,1773676695406000000,141311
FlushQueue.executionTimeAvgNs,1773676635263000000,1773676695406000000,50560.0
FlushQueue.queueSizeMax,1773676635263000000,1773676695406000000,0
NonBlockingReadAction.failedExecutionTimeUs,1773676635263000000,1773676695406000000,388406
NonBlockingReadAction.finalizedExecutionTimeUs,1773676635263000000,1773676695406000000,1158119
AWTEventQueue.eventsDispatched,1773676635263000000,1773676695406000000,6
AWTEventQueue.dispatchTimeAvgNs,1773676635263000000,1773676695406000000,124629.33333333333
FlushQueue.queueSizeAvg,1773676635263000000,1773676695406000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1773676635263000000,1773676695406000000,168959
FlushQueue.executionTime90PNs,1773676635263000000,1773676695406000000,60415
NonBlockingReadAction.finalizedExecutionsCount,1773676635263000000,1773676695406000000,952
FlushQueue.queueSize90P,1773676635263000000,1773676695406000000,0
FlushQueue.waitingTimeMaxNs,1773676635263000000,1773676695406000000,141311
WriteAction.executionsCount,1773676635263000000,1773676695406000000,43
AWTEventQueue.dispatchTimeTotalNS,1773676635263000000,1773676695406000000,11781929255
cacheStateStorage.set.duration,1773676635263000000,1773676695406000000,9
cacheStateStorage.get.duration,1773676635263000000,1773676695406000000,146
cacheStateStorage.set.counter,1773676635263000000,1773676695406000000,5
cacheStateStorage.get.counter,1773676635263000000,1773676695406000000,54
VFS.contentStorage.recordsUncompressedSize,1773676635263000000,1773676695406000000,2065
VFS.contentStorage.recordsDecompressionTimeUs,1773676635263000000,1773676695406000000,138918
FileNameCache.queries,1773676635263000000,1773676695406000000,46144
VFS.contentStorage.recordsReadDecompressed,1773676635263000000,1773676695406000000,2100
VFS.contentStorage.recordsStoredCompressed,1773676635263000000,1773676695406000000,0
FileNameCache.totalMisses,1773676635263000000,1773676695406000000,384
VFS.fileByIdCache.misses,1773676635263000000,1773676695406000000,8058
VFS.contentStorage.recordsStored,1773676635263000000,1773676695406000000,1
VFS.fileByIdCache.hits,1773676635263000000,1773676695406000000,0
VFS.contentStorage.recordsRead,1773676635263000000,1773676695406000000,6280
VFS.fileChildByName,1773676635263000000,1773676695406000000,194854
VFS.invertedFileNameIndex.requests,1773676635263000000,1773676695406000000,646
VFS.contentStorage.recordsReadSize,1773676635263000000,1773676695406000000,84935629
VFS.contentStorage.recordsDeduplicated,1773676635263000000,1773676695406000000,1
VFS.contentStorage.recordsStoredSize,1773676635263000000,1773676695406000000,2065
FilePageCache.capacityInBytes,1773676635263000000,1773676695406000000,629145600
FilePageCache.uncachedFileAccess,1773676635263000000,1773676695406000000,163
StorageLockContext.competingThreads.max,1773676635263000000,1773676695406000000,0
StreamlinedBlobStorage.recordsDeleted,1773676635263000000,1773676695406000000,1
DirectByteBufferAllocator.hits,1773676635263000000,1773676695406000000,3
FilePageCache.pageHits,1773676635263000000,1773676695406000000,0
StreamlinedBlobStorage.recordsAllocated,1773676635263000000,1773676695406000000,310
FilePageCache.totalPageDisposalsUs,1773676635263000000,1773676695406000000,5627
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1773676635263000000,1773676695406000000,91985
MappedFileStorage.totalTimeSpentOnMappingUs,1773676635263000000,1773676695406000000,12180
MappedFileStorage.storages,1773676635263000000,1773676695406000000,16
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1773676635263000000,1773676695406000000,41959424
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1773676635263000000,1773676695406000000,60339
FilePageCache.disposedBuffers,1773676635263000000,1773676695406000000,229
DirectByteBufferAllocator.reclaimed,1773676635263000000,1773676695406000000,45
FilePageCache.totalPageLoadsUs,1773676635263000000,1773676695406000000,179839
FilePageCache.maxRegisteredFiles,1773676635263000000,1773676695406000000,519
FilePageCache.maxCacheSizeInBytes,1773676635263000000,1773676695406000000,234897408
FilePageCache.pageLoads,1773676635263000000,1773676695406000000,232
MappedFileStorage.totalBytesMapped,1773676635263000000,1773676695406000000,202637312
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1773676635263000000,1773676695406000000,1064960
StorageLockContext.competingThreads.avg,1773676635263000000,1773676695406000000,0.0
DirectByteBufferAllocator.misses,1773676635263000000,1773676695406000000,229
MappedFileStorage.totalPagesMapped,1773676635263000000,1773676695406000000,16
FilePageCache.pageLoadsAboveSizeThreshold,1773676635263000000,1773676695406000000,0
StreamlinedBlobStorage.recordsRelocated,1773676635263000000,1773676695406000000,0
StorageLockContext.competingThreads.90P,1773676635263000000,1773676695406000000,0
FilePageCache.pageFastCacheHits,1773676635263000000,1773676695406000000,337671
FileChannelInterruptsRetryer.totalRetriedAttempts,1773676635263000000,1773676695406000000,0
DirectByteBufferAllocator.disposed,1773676635263000000,1773676695406000000,226
Indexes.stubs.lookups,1773676635263000000,1773676695406000000,0
Indexes.stubs.lookupDurationAvgMs,1773676635263000000,1773676695406000000,0.0
Indexes.entries.lookupDuration90PMs,1773676635263000000,1773676695406000000,0.0
Indexes.entries.lookupDurationAvgMs,1773676635263000000,1773676695406000000,0.0
Indexing.writesQueuedMin,1773676635263000000,1773676695406000000,9223372036854775807
Indexes.allKeys.lookupDurationMaxMs,1773676635263000000,1773676695406000000,0.0
