# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.load.all.modules.ms,1773677042790000000,1773677102800000000,23
jps.project.serializers.save.ms,1773677042790000000,1773677102800000000,2
jps.save.global.entities.ms,1773677042790000000,1773677102800000000,3
workspaceModel.mutableEntityStorage.has.same.entities.ms,1773677042790000000,1773677102800000000,0
workspaceModel.sync.entities.ms,1773677042790000000,1773677102800000000,0
jps.reload.project.entities.ms,1773677042790000000,1773677102800000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1773677042790000000,1773677102800000000,0
jps.save.changed.project.entities.ms,1773677042790000000,1773677102800000000,2
jps.app.storage.content.writer.save.component.ms,1773677042790000000,1773677102800000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1773677042790000000,1773677102800000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1773677042790000000,1773677102800000000,0
workspaceModel.orphan.listener.update.ms,1773677042790000000,1773677102800000000,1
jps.library.entities.serializer.save.entities.ms,1773677042790000000,1773677102800000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1773677042790000000,1773677102800000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1773677042790000000,1773677102800000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1773677042790000000,1773677102800000000,3
workspaceModel.mutableEntityStorage.modify.entity.ms,1773677042790000000,1773677102800000000,3
workspaceModel.delayed.project.synchronizer.sync.ms,1773677042790000000,1773677102800000000,47
jps.global.initialize.library.bridges.after.loading.ms,1773677042790000000,1773677102800000000,2
jps.project.serializers.load.ms,1773677042790000000,1773677102800000000,32
workspaceModel.mutableEntityStorage.instances.count,1773677042790000000,1773677102800000000,25
jps.artifact.entities.serializer.load.entities.ms,1773677042790000000,1773677102800000000,0
workspaceModel.load.cache.from.file.ms,1773677042790000000,1773677102800000000,147
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1773677042790000000,1773677102800000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1773677042790000000,1773677102800000000,2
jps.app.storage.content.reader.load.component.ms,1773677042790000000,1773677102800000000,0
workspaceModel.global.apply.state.to.project.ms,1773677042790000000,1773677102800000000,19
jps.storage.jps.conf.reader.load.component.ms,1773677042790000000,1773677102800000000,2
jps.load.initial.state.ms,1773677042790000000,1773677102800000000,12
jps.facet.change.listener.init.bridge.ms,1773677042790000000,1773677102800000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1773677042790000000,1773677102800000000,0
jps.module.iml.entities.serializer.load.entities.ms,1773677042790000000,1773677102800000000,23
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1773677042790000000,1773677102800000000,1
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1773677042790000000,1773677102800000000,1
workspaceModel.moduleBridge.update.option.ms,1773677042790000000,1773677102800000000,0
jps.load.project.to.empty.storage.ms,1773677042790000000,1773677102800000000,37
jps.facet.change.listener.before.change.events.ms,1773677042790000000,1773677102800000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1773677042790000000,1773677102800000000,1
workspaceModel.moduleBridge.facet.initialization.ms,1773677042790000000,1773677102800000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1773677042790000000,1773677102800000000,0
workspaceModel.load.cache.metadata.from.file.ms,1773677042790000000,1773677102800000000,26
workspaceModel.save.cache.to.file.ms,1773677042790000000,1773677102800000000,22
jps.facet.change.listener.process.change.events.ms,1773677042790000000,1773677102800000000,0
jps.artifact.entities.serializer.save.entities.ms,1773677042790000000,1773677102800000000,0
jps.global.handle.changed.events.ms,1773677042790000000,1773677102800000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1773677042790000000,1773677102800000000,114
jps.global.get.library.ms,1773677042790000000,1773677102800000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1773677042790000000,1773677102800000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1773677042790000000,1773677102800000000,0
jps.global.handle.before.change.events.ms,1773677042790000000,1773677102800000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1773677042790000000,1773677102800000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1773677042790000000,1773677102800000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1773677042790000000,1773677102800000000,7
workspaceModel.global.updates.ms,1773677042790000000,1773677102800000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1773677042790000000,1773677102800000000,6
workspaceModel.mutableEntityStorage.entities.by.source.ms,1773677042790000000,1773677102800000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1773677042790000000,1773677102800000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1773677042790000000,1773677102800000000,1
workspaceModel.moduleBridge.before.changed.ms,1773677042790000000,1773677102800000000,0
workspaceModel.do.save.caches.ms,1773677042790000000,1773677102800000000,26
jps.global.get.libraries.ms,1773677042790000000,1773677102800000000,0
jps.global.initialize.library.bridges.ms,1773677042790000000,1773677102800000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1773677042790000000,1773677102800000000,7
workspaceModel.moduleManagerBridge.create.module.instance.ms,1773677042790000000,1773677102800000000,0
jps.module.iml.entities.serializer.save.entities.ms,1773677042790000000,1773677102800000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1773677042790000000,1773677102800000000,0
workspaceModel.mutableEntityStorage.entities.ms,1773677042790000000,1773677102800000000,0
jps.apply.loaded.storage.ms,1773677042790000000,1773677102800000000,9
jps.library.entities.serializer.load.entities.ms,1773677042790000000,1773677102800000000,0
jps.global.get.library.by.name.ms,1773677042790000000,1773677102800000000,0
workspaceModel.global.updates.count,1773677042790000000,1773677102800000000,0
AWTEventQueue.dispatchTimeTotalNS,1773677042790000000,1773677102800000000,9359967925
FlushQueue.executionTimeAvgNs,1773677042790000000,1773677102800000000,548209.2056088346
NonBlockingReadAction.failedExecutionTimeUs,1773677042790000000,1773677102800000000,229121
NonBlockingReadAction.failedExecutionsCount,1773677042790000000,1773677102800000000,20
AWTEventQueue.dispatchTimeMaxNs,1773677042790000000,1773677102800000000,683671551
AWTEventQueue.eventsDispatched,1773677042790000000,1773677102800000000,8614
FlushQueue.queueSizeMax,1773677042790000000,1773677102800000000,170
FlushQueue.executionTime90PNs,1773677042790000000,1773677102800000000,274431
FlushQueue.waitingTime90PNs,1773677042790000000,1773677102800000000,95420415
NonBlockingReadAction.finalizedExecutionsCount,1773677042790000000,1773677102800000000,675
AWTEventQueue.dispatchTime90PNs,1773677042790000000,1773677102800000000,1064959
NonBlockingReadAction.finalizedExecutionTimeUs,1773677042790000000,1773677102800000000,986034
AWTEventQueue.dispatchTimeAvgNs,1773677042790000000,1773677102800000000,1086695.7687485488
FlushQueue.queueSizeAvg,1773677042790000000,1773677102800000000,15.513513513513514
ReadAction.executionsCount,1773677042790000000,1773677102800000000,130449
FlushQueue.queueSize90P,1773677042790000000,1773677102800000000,63
FlushQueue.tasksExecuted,1773677042790000000,1773677102800000000,6882
FlushQueue.waitingTimeAvgNs,1773677042790000000,1773677102800000000,2.3571024764022086E7
FlushQueue.executionTimeMaxNs,1773677042790000000,1773677102800000000,679477247
FlushQueue.waitingTimeMaxNs,1773677042790000000,1773677102800000000,750780415
WriteAction.executionsCount,1773677042790000000,1773677102800000000,26
Indexes.entries.lookups,1773677042790000000,1773677102800000000,229
