# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.writer_0.totalTimeSpentWritingMs,1773675972918000000,1773675973393000000,0
Indexing.totalTimeIndexersSleptMs,1773675972918000000,1773675973393000000,0
Indexing.cache.totalCacheEvicted,1773675972918000000,1773675973393000000,0
Indexing.cache.totalCacheAccesses,1773675972918000000,1773675973393000000,0
Indexing.cache.totalCacheMisses,1773675972918000000,1773675973393000000,0
Indexing.writesQueuedMin,1773675972918000000,1773675973393000000,9223372036854775807
Indexing.writesQueuedMax,1773675972918000000,1773675973393000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1773675972918000000,1773675973393000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1773675972918000000,1773675973393000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1773675972918000000,1773675973393000000,0
DiskQueryRelay.tasksRequested,1773675972918000000,1773675973393000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1773675972918000000,1773675973393000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1773675972918000000,1773675973393000000,0
DiskQueryRelay.tasksExecuted,1773675972918000000,1773675973393000000,0
cacheStateStorage.set.counter,1773675972918000000,1773675973393000000,0
cacheStateStorage.get.counter,1773675972918000000,1773675973393000000,2
cacheStateStorage.set.duration,1773675972918000000,1773675973393000000,0
cacheStateStorage.get.duration,1773675972918000000,1773675973393000000,0
VFS.fileChildByName,1773675972918000000,1773675973393000000,0
VFS.invertedFileNameIndex.requests,1773675972918000000,1773675973393000000,0
VFS.fileByIdCache.misses,1773675972918000000,1773675973393000000,0
VFS.fileByIdCache.hits,1773675972918000000,1773675973393000000,0
AWTEventQueue.dispatchTimeMaxNs,1773675972918000000,1773675973393000000,0
AWTEventQueue.dispatchTimeAvgNs,1773675972918000000,1773675973393000000,0.0
FlushQueue.waitingTimeAvgNs,1773675972918000000,1773675973393000000,0.0
FlushQueue.executionTime90PNs,1773675972918000000,1773675973393000000,0
AWTEventQueue.dispatchTimeTotalNS,1773675972918000000,1773675973393000000,4076709
FlushQueue.executionTimeAvgNs,1773675972918000000,1773675973393000000,0.0
FlushQueue.queueSize90P,1773675972918000000,1773675973393000000,0
FlushQueue.waitingTime90PNs,1773675972918000000,1773675973393000000,0
AWTEventQueue.dispatchTime90PNs,1773675972918000000,1773675973393000000,0
FlushQueue.waitingTimeMaxNs,1773675972918000000,1773675973393000000,0
FlushQueue.tasksExecuted,1773675972918000000,1773675973393000000,0
FlushQueue.queueSizeAvg,1773675972918000000,1773675973393000000,0.0
FlushQueue.executionTimeMaxNs,1773675972918000000,1773675973393000000,0
AWTEventQueue.eventsDispatched,1773675972918000000,1773675973393000000,0
FlushQueue.queueSizeMax,1773675972918000000,1773675973393000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1773675972918000000,1773675973393000000,0
FilePageCache.pageLoads,1773675972918000000,1773675973393000000,1
FilePageCache.pageHits,1773675972918000000,1773675973393000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1773675972918000000,1773675973393000000,0
StorageLockContext.competingThreads.max,1773675972918000000,1773675973393000000,0
MappedFileStorage.totalPagesMapped,1773675972918000000,1773675973393000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1773675972918000000,1773675973393000000,1048576
DirectByteBufferAllocator.misses,1773675972918000000,1773675973393000000,1
FilePageCache.capacityInBytes,1773675972918000000,1773675973393000000,629145600
FilePageCache.uncachedFileAccess,1773675972918000000,1773675973393000000,3
MappedFileStorage.storages,1773675972918000000,1773675973393000000,0
FilePageCache.maxRegisteredFiles,1773675972918000000,1773675973393000000,3
StorageLockContext.competingThreads.avg,1773675972918000000,1773675973393000000,0.0
FileChannelInterruptsRetryer.totalRetriedAttempts,1773675972918000000,1773675973393000000,0
FilePageCache.disposedBuffers,1773675972918000000,1773675973393000000,0
FilePageCache.totalPageDisposalsUs,1773675972918000000,1773675973393000000,6
FilePageCache.totalPageLoadsUs,1773675972918000000,1773675973393000000,7833
StorageLockContext.competingThreads.90P,1773675972918000000,1773675973393000000,0
DirectByteBufferAllocator.disposed,1773675972918000000,1773675973393000000,0
FilePageCache.maxCacheSizeInBytes,1773675972918000000,1773675973393000000,1048576
MappedFileStorage.totalTimeSpentOnMappingUs,1773675972918000000,1773675973393000000,215478
FilePageCache.pageFastCacheHits,1773675972918000000,1773675973393000000,68
MappedFileStorage.totalBytesMapped,1773675972918000000,1773675973393000000,0
DirectByteBufferAllocator.reclaimed,1773675972918000000,1773675973393000000,0
DirectByteBufferAllocator.hits,1773675972918000000,1773675973393000000,0
