# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.duration,1773676241774000000,1773676301792000000,41
cacheStateStorage.get.counter,1773676241774000000,1773676301792000000,35
cacheStateStorage.set.counter,1773676241774000000,1773676301792000000,10
cacheStateStorage.get.duration,1773676241774000000,1773676301792000000,64
Indexing.writer_0.totalTimeSpentWritingMs,1773676241774000000,1773676301792000000,633
Indexing.writer_2.totalTimeSpentWritingMs,1773676241774000000,1773676301792000000,345
Indexes.entries.lookups,1773676241774000000,1773676301792000000,109
Indexes.allKeys.lookups,1773676241774000000,1773676301792000000,2
Indexes.stubs.lookupDurationMaxMs,1773676241774000000,1773676301792000000,0.0
Indexes.stubs.lookups,1773676241774000000,1773676301792000000,0
Indexing.cache.totalCacheMisses,1773676241774000000,1773676301792000000,117550
Indexing.writesQueuedMin,1773676241774000000,1773676301792000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1773676241774000000,1773676301792000000,701
Indexes.allKeys.lookupDurationAvgMs,1773676241774000000,1773676301792000000,2.5
Indexes.stubs.lookupDuration90PMs,1773676241774000000,1773676301792000000,0.0
Indexing.cache.totalCacheAccesses,1773676241774000000,1773676301792000000,390267
Indexes.allKeys.lookupDurationMaxMs,1773676241774000000,1773676301792000000,5.0
Indexing.writesQueuedMax,1773676241774000000,1773676301792000000,30
Indexing.writer_3.totalTimeSpentWritingMs,1773676241774000000,1773676301792000000,141
Indexes.stubs.lookupDurationAvgMs,1773676241774000000,1773676301792000000,0.0
Indexes.allKeys.lookupDuration90PMs,1773676241774000000,1773676301792000000,5.0
Indexing.totalTimeIndexersSleptMs,1773676241774000000,1773676301792000000,0
Indexes.entries.lookupDuration90PMs,1773676241774000000,1773676301792000000,1.0
Indexing.writesQueuedAvg,1773676241774000000,1773676301792000000,0.3944954128440367
Indexing.cache.totalCacheEvicted,1773676241774000000,1773676301792000000,117550
Indexes.entries.lookupDurationMaxMs,1773676241774000000,1773676301792000000,33.0
Indexes.entries.lookupDurationAvgMs,1773676241774000000,1773676301792000000,0.5137614678899083
jps.facet.change.listener.before.change.events.ms,1773676241774000000,1773676301792000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1773676241774000000,1773676301792000000,31
jps.load.project.to.empty.storage.ms,1773676241774000000,1773676301792000000,62
jps.global.handle.changed.events.ms,1773676241774000000,1773676301792000000,0
workspaceModel.orphan.listener.update.ms,1773676241774000000,1773676301792000000,1
jps.project.serializers.save.ms,1773676241774000000,1773676301792000000,14
jps.project.serializers.load.ms,1773676241774000000,1773676301792000000,3
workspaceModel.mutableEntityStorage.collect.changes.ms,1773676241774000000,1773676301792000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1773676241774000000,1773676301792000000,0
jps.global.initialize.library.bridges.after.loading.ms,1773676241774000000,1773676301792000000,1
jps.save.global.entities.ms,1773676241774000000,1773676301792000000,4
jps.global.get.libraries.ms,1773676241774000000,1773676301792000000,0
jps.global.handle.before.change.events.ms,1773676241774000000,1773676301792000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1773676241774000000,1773676301792000000,0
jps.module.iml.entities.serializer.save.entities.ms,1773676241774000000,1773676301792000000,3
workspaceModel.mutableEntityStorage.instances.count,1773676241774000000,1773676301792000000,38
jps.modifiable.module.model.bridge.renaming.ms,1773676241774000000,1773676301792000000,0
jps.global.initialize.library.bridges.ms,1773676241774000000,1773676301792000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1773676241774000000,1773676301792000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1773676241774000000,1773676301792000000,3
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1773676241774000000,1773676301792000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1773676241774000000,1773676301792000000,3
workspaceModel.moduleBridge.update.option.ms,1773676241774000000,1773676301792000000,7
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1773676241774000000,1773676301792000000,3
jps.app.storage.content.reader.load.component.ms,1773676241774000000,1773676301792000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1773676241774000000,1773676301792000000,1
jps.apply.loaded.storage.ms,1773676241774000000,1773676301792000000,31
workspaceModel.global.updates.ms,1773676241774000000,1773676301792000000,0
jps.modifiable.module.model.bridge.new.module.ms,1773676241774000000,1773676301792000000,30
jps.artifact.entities.serializer.save.entities.ms,1773676241774000000,1773676301792000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1773676241774000000,1773676301792000000,77
workspaceModel.mutableEntityStorage.entities.ms,1773676241774000000,1773676301792000000,2
jps.load.initial.state.ms,1773676241774000000,1773676301792000000,8
workspaceModel.do.save.caches.ms,1773676241774000000,1773676301792000000,109
workspaceModel.mutableEntityStorage.resolve.ms,1773676241774000000,1773676301792000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1773676241774000000,1773676301792000000,0
workspaceModel.load.cache.from.file.ms,1773676241774000000,1773676301792000000,0
jps.storage.jps.conf.reader.load.component.ms,1773676241774000000,1773676301792000000,3
workspaceModel.moduleBridge.facet.initialization.ms,1773676241774000000,1773676301792000000,0
jps.facet.change.listener.process.change.events.ms,1773676241774000000,1773676301792000000,1
jps.modifiable.module.model.bridge.load.module.ms,1773676241774000000,1773676301792000000,0
jps.library.entities.serializer.load.entities.ms,1773676241774000000,1773676301792000000,0
jps.facet.change.listener.init.bridge.ms,1773676241774000000,1773676301792000000,1
jps.app.storage.content.writer.save.component.ms,1773676241774000000,1773676301792000000,2
workspaceModel.moduleBridge.before.changed.ms,1773676241774000000,1773676301792000000,0
jps.library.entities.serializer.save.entities.ms,1773676241774000000,1773676301792000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1773676241774000000,1773676301792000000,30
workspaceModel.delayed.project.synchronizer.sync.ms,1773676241774000000,1773676301792000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1773676241774000000,1773676301792000000,15
jps.global.get.library.by.name.ms,1773676241774000000,1773676301792000000,0
jps.reload.project.entities.ms,1773676241774000000,1773676301792000000,0
jps.global.get.library.ms,1773676241774000000,1773676301792000000,0
workspaceModel.sync.entities.ms,1773676241774000000,1773676301792000000,0
workspaceModel.global.apply.state.to.project.ms,1773676241774000000,1773676301792000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1773676241774000000,1773676301792000000,119
workspaceModel.moduleManagerBridge.load.all.modules.ms,1773676241774000000,1773676301792000000,4
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1773676241774000000,1773676301792000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1773676241774000000,1773676301792000000,0
jps.modifiable.module.model.bridge.disposing.ms,1773676241774000000,1773676301792000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1773676241774000000,1773676301792000000,1
workspaceModel.global.updates.count,1773676241774000000,1773676301792000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1773676241774000000,1773676301792000000,5
workspaceModel.moduleManagerBridge.load.module.ms,1773676241774000000,1773676301792000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1773676241774000000,1773676301792000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1773676241774000000,1773676301792000000,10
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1773676241774000000,1773676301792000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1773676241774000000,1773676301792000000,1
workspaceModel.save.cache.to.file.ms,1773676241774000000,1773676301792000000,102
workspaceModel.moduleManagerBridge.get.modules.ms,1773676241774000000,1773676301792000000,1
jps.module.iml.entities.serializer.load.entities.ms,1773676241774000000,1773676301792000000,0
jps.artifact.entities.serializer.load.entities.ms,1773676241774000000,1773676301792000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1773676241774000000,1773676301792000000,15
workspaceModel.mutableEntityStorage.has.same.entities.ms,1773676241774000000,1773676301792000000,0
jps.save.changed.project.entities.ms,1773676241774000000,1773676301792000000,15
